id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
35592985,Victorian townhouse close to St Stephen’s Green,86689452,Aidan,,Dublin City,53.33437,-6.26749,Entire home/apt,400,5,1,2019-08-12,0.04,1,67,0,
35606681,Lovely bedroom with private bathroom and breakfast,172395364,Lisa,,Dublin City,53.31553,-6.29269,Private room,70,2,15,2020-01-02,0.50,1,0,0,
35608363,RDS and Aviva stadium Neighbour,112062166,Gav&Una,,Dublin City,53.33062,-6.22536,Entire home/apt,80,14,28,2021-08-25,0.97,10,33,17,
35613743,High quality very private room in Dublin 18,115615721,Catia,,Dn Laoghaire-Rathdown,53.26918,-6.19553,Private room,105,3,0,,,2,311,0,
35634746,Cosy modern house in city centre w/ balcony,224372866,Naoise,,Dublin City,53.34237,-6.27427,Entire home/apt,200,1,2,2019-08-12,0.07,1,0,0,
35640983,Dublin City Centre Room ( 2 mins from Temple Bar ),212838773,Vilma,,Dublin City,53.34736,-6.26493,Private room,55,1,8,2019-09-26,0.27,1,67,0,
35643366,Fresh 2 bedroom Apartment with 2 private bathrooms,268142321,Diederik,,Dublin City,53.34115,-6.23533,Entire home/apt,209,2,0,,,1,0,0,
35648044,Double bedroom near Kilmainham & War Memorial Park,264577699,Mary,,Dublin City,53.34252,-6.32753,Private room,35,3,15,2020-03-14,0.50,1,0,0,
35667540,can someone help me  delist this property?,68716260,Anna,,Dn Laoghaire-Rathdown,53.23815,-6.11622,Entire home/apt,100,1,11,2019-09-25,0.37,1,312,0,
35670351,Uptown City Center,268329375,Rohit,,Dublin City,53.35129,-6.25293,Entire home/apt,500,2,0,,,2,172,0,
35673245,Temple Bar rooms,247178939,Hiphipstay,,Dublin City,53.3465,-6.26671,Private room,98,2,25,2021-11-21,0.84,9,50,10,
35673359,Templebar Rooms,247178939,Hiphipstay,,Dublin City,53.34702,-6.26692,Private room,109,2,35,2021-11-24,1.18,9,263,10,
35673455,Templebar Rooms,247178939,Hiphipstay,,Dublin City,53.34708,-6.26671,Entire home/apt,89,2,52,2021-11-23,1.77,9,239,6,
35673532,Temple Bar Rooms,247178939,Hiphipstay,,Dublin City,53.34687,-6.2685,Private room,105,2,47,2021-11-18,1.59,9,258,5,
35673628,Temple Bar Rooms,247178939,Hiphipstay,,Dublin City,53.34736,-6.26854,Private room,900,2,21,2020-06-12,0.71,9,365,0,
35673718,Temple Bar Rooms,247178939,Hiphipstay,,Dublin City,53.34704,-6.26848,Private room,95,2,32,2021-11-24,1.08,9,53,9,
35673876,Temple Bar Rooms,247178939,Hiphipstay,,Dublin City,53.34659,-6.26658,Private room,900,2,26,2020-06-21,0.88,9,331,0,
35673936,Temple Bar Rooms,247178939,Hiphipstay,,Dublin City,53.34715,-6.26714,Private room,110,2,34,2021-11-14,1.15,9,269,5,
35679514,Home sweet home!,268398277,Angela,,Fingal,53.44264,-6.23359,Private room,55,1,12,2019-10-12,0.40,1,0,0,
35699949,Bright and spacious double room Dublin 8,268529189,Maria,,Dublin City,53.34057,-6.27418,Private room,50,2,2,2019-07-21,0.07,2,0,0,
